Subject 1,Subject 2,Domain 1,Domain 2,Ontology 1,Ontology 2,Similarity Score,Cluster
InductiveHypothesis,Sentence,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.72481215,0
InductiveHypothesis,SingleHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66243374,0
InductiveHypothesis,Strategy,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7150054,0
InductiveHypothesis,TechnicalDescription,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7192453,0
InductiveHypothesis,TimeInterval,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7300528,0
InductiveHypothesis,TimePoint,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.71413434,0
InductiveHypothesis,ValueOfVariable,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6736399,0
InductiveHypothesis,Variability,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.72234607,0
InductiveHypothesis,accomplishment,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.75139666,0
InductiveHypothesis,Author,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6662993,0
InductiveHypothesis,ClassificationModelingAlgorithm,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.77922297,0
InductiveHypothesis,Collection,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66605675,0
InductiveHypothesis,ComputationalExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66438484,0
InductiveHypothesis,ContentBearingPhysical,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6863786,0
InductiveHypothesis,CoreDM-Task,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7435674,0
InductiveHypothesis,DecisionRule,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7648197,0
InductiveHypothesis,Device,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6809709,0
InductiveHypothesis,DynamismOfModel,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6815896,0
InductiveHypothesis,entropy_based_splitting_criterion,Experimental workflow,Machine Learning,EXPO04-19-06.owl,expose.owl,0.66094553,0
InductiveHypothesis,Error,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.72398055,0
InductiveHypothesis,event,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7911763,0
InductiveHypothesis,ExperimentalDesign,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.729874,0
InductiveHypothesis,ExperimentalGoal,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.71598685,0
InductiveHypothesis,ExperimentalObservation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.78063405,0
InductiveHypothesis,ExperimentalResults,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69485784,0
InductiveHypothesis,ExperimentalRule,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.677366,0
InductiveHypothesis,GalileanExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8061446,0
InductiveHypothesis,Language,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6988348,0
InductiveHypothesis,MaterialEntity,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,SmartProtocols_doc_V4.0.owl,0.70830226,0
InductiveHypothesis,MeasurementError,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.79024196,0
InductiveHypothesis,non-agentive-social-object,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.71542645,0
InductiveHypothesis,non-physical-object,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.6655433,0
InductiveHypothesis,ObjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7366761,0
InductiveHypothesis,ObservationalError,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.72979754,0
InductiveHypothesis,PatternDiscoveryTask,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7786762,0
InductiveHypothesis,Plan,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.68130946,0
InductiveHypothesis,Procedure,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.71315557,0
InductiveHypothesis,PropositionalLogicStructure,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.6902893,0
InductiveHypothesis,RandomError,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7650479,0
InductiveHypothesis,ResearchMethod,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6729242,0
InductiveHypothesis,Role,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69680023,0
InductiveHypothesis,ScientificExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.73845863,0
InductiveHypothesis,ScientificTask,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69649416,0
InductiveHypothesis,SentientAgent,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6951217,0
InductiveHypothesis,social-object,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7216775,0
InductiveHypothesis,state,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7796018,0
InductiveHypothesis,SubjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.76188636,0
InductiveHypothesis,Text,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.74805117,0
InductiveHypothesis,Tool,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.68023527,0
Physical,ArtificialLanguage,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.88878584,0
Physical,DesigningExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.70101637,0
Physical,LinguisticExpression,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.84466255,0
Physical,Procedure,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.73598146,0
Physical,QualityControl,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7390425,0
Physical,Title,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.80241317,0
Physical,ComputationalData,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.82227135,0
Physical,ExperimentalGoal,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6930394,0
Physical,IAO:information_content_entity,Experimental workflow,Machine Learning,EXPO04-19-06.owl,expose.owl,0.7795939,0
Physical,Physical,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.9940887,0
Physical,Plan,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.73920256,0
Physical,ResearchMethod,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7479093,0
Physical,SynonymousExternalConcept,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.9339657,0
Title,AdminInfoAuthor,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6758339,0
Title,AdminInfoExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6716262,0
Title,AdminInfoObjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7251378,0
Title,AdminInfoProvider,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66866785,0
Title,AdminInfoSubjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6944382,0
Title,AdminInfoSubmitter,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67413867,0
Title,AdminInfoUser,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67439395,0
Title,ArtificialLanguage,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8493819,0
Title,Attribute,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8085824,0
Title,Classifying,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67523694,0
Title,ContentBearingObject,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66838384,0
Title,ContentBearingPhysical,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66219044,0
Title,DDC_Dewey_Classification,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7673743,0
Title,DesigningExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8341478,0
Title,DuhemEffect,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6881292,0
Title,EnvironmentalRequirements,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66305923,0
Title,ExecutionOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6833749,0
Title,ExperimentalHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6726656,0
Title,ExperimentalRequirements,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6933055,0
Title,ExperimentalStandard,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7190543,0
Title,ExperimentalTechnology,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.71865,0
Title,Fact,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6751962,0
Title,FieldOfStudy,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.73298067,0
Title,HypothesisFormation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6795218,0
Title,HypothesisForming,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6942204,0
Title,HypothesisRepresentation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69246364,0
Title,InterpretingResult,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6774034,0
Title,Language,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7370572,0
Title,LibraryOfCongressClassification,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.77296257,0
Title,LimitationOfTheProtocol,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,SmartProtocols_doc_V4.0.owl,0.70622814,0
Title,LinguisticExpression,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.81481814,0
Title,Name,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7318039,0
Title,NLMClassification,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.76002467,0
Title,Procedure,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.80337954,0
Title,Process,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.71369004,0
Title,Proposition,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.68995845,0
Title,ProvenanceOfTheProtocol,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,SmartProtocols_doc_V4.0.owl,0.66257054,0
Title,QualityControl,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7529695,0
Title,RepresentationExperimentalExecutionProcedure,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6953143,0
Title,RepresentationExperimentalGoal,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7262243,0
Title,RepresentationExperimentalObservation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.70147395,0
Title,RepresentationExperimentalResults,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7030503,0
Title,ResultEvaluating,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6641313,0
Title,ResultsInterpretation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67998886,0
Title,SubjectQualification,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.76147366,0
Title,TechnicalDescription,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.79343456,0
Title,TimeInterval,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6966729,0
Title,TimePoint,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69692487,0
Title,Title,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.99968547,0
Title,ValueOfVariable,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.70549285,0
Title,Variability,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6671851,0
Title,Author,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.74382806,0
Title,ComputationalData,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8391129,0
Title,Device,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67574394,0
Title,Error,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7602136,0
Title,EthanolSolution,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,SmartProtocols_doc_V4.0.owl,0.66528386,0
Title,ExperimentalDesign,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.78254795,0
Title,ExperimentalEquipment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6784636,0
Title,ExperimentalGoal,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8286661,0
Title,ExperimentalRule,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67284334,0
Title,IAO:information_content_entity,Experimental workflow,Machine Learning,EXPO04-19-06.owl,expose.owl,0.78759813,0
Title,ObjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69279706,0
Title,ObservationalError,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7482264,0
Title,Plan,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8394772,0
Title,Primer,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,SmartProtocols_doc_V4.0.owl,0.6640385,0
Title,Quantity,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66153115,0
Title,ResearchMethod,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.83718824,0
Title,ScientificTask,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66680825,0
Title,SubjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6826842,0
Title,SynonymousExternalConcept,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.76310545,0
Title,Text,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.73840666,0
Title,Tool,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7112068,0
Validity,AbductiveHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7065358,0
Validity,AdminInfoObjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66645736,0
Validity,ArtificialLanguage,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8173728,0
Validity,Attribute,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7913619,0
Validity,AttributeOfHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.68085957,0
Validity,AttributeOfModel,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66385955,0
Validity,CapacityRequirements,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6611463,0
Validity,Classifying,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7087325,0
Validity,DDC_Dewey_Classification,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7587771,0
Validity,DesigningExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.8442892,0
Validity,DuhemEffect,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7512928,0
Validity,DynamismOfModel,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66067,0
Validity,EnvironmentalRequirements,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67048013,0
Validity,ExecutionOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.67243385,0
Validity,ExperimentalDesignStrategy,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6820619,0
