Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
hasRecoveryOfPursuit,,"hasRecoveryOfPursuit: a property that relates a heuristic search algorithm to a value set named after Pearl's (1984, p. 65) ""recovery of pursuit, which can be described as either tentative or Irrevocable.See the concept RecoveryOfPursuit.",comment,"hasRecoveryOfPursuit: a property that relates a heuristic search algorithm to a value set named after Pearl's (1984, p. 65) ""recovery of pursuit, which can be described as either tentative or Irrevocable.See the concept RecoveryOfPursuit.",,,Machine Learning,DMOP.owl
HypothesisCharacteristic,,,type,Class,,,Machine Learning,DMOP.owl
Nff80603d49fb4abd9eb738bf0ad2da77,,,onProperty,hasDecisionBoundary,,,Machine Learning,DMOP.owl
CategoricalLabeledDataSet,,,subClassOf,N4e9fcf5521b049c5bff38e5e2487bf32,,,Machine Learning,DMOP.owl
hasTargetFeature,,,range,Feature,,,Machine Learning,DMOP.owl
DM-Algorithm,,,disjointWith,DM-Data,,,Machine Learning,DMOP.owl
MultivariateTreeInductionAlgorithm,,,subClassOf,ClassificationTreeInductionAlgorithm,,"TreeInductionAlgorithm: Hand et al 01, p. 335: Decision trees can be considered discriminant functions if they predict crisp classes at the leaves and discriminative if they predict probabilities.",Machine Learning,DMOP.owl
RegressionModel,,,subClassOf,PredictiveModel,,,Machine Learning,DMOP.owl
N0d949e721cca4f45a0dc579e1b882856,,,type,Restriction,,,Machine Learning,DMOP.owl
Naf5c7a1f98c8457dac1266fb4353d12c,,BFS is complete under the assumption that the branching factor is finite.,annotatedSource,BreadthFirstSearch,,BreadthFirstSearch: an uninformed search strategy that expands the shallowest unexpanded node first. The fringe (set of generated but unexpanded nodes is a first-in first-out queue).,Machine Learning,DMOP.owl
N24931d283a5e41dca5da86bd0029da46,,,rest,nil,,,Machine Learning,DMOP.owl
N5deeb513a0154ea9963ceac6423fdd81,,,onProperty,hasMainTable,,,Machine Learning,DMOP.owl
Nc6b5d2c9c8ae413f86b8112958d827c4,,,type,Restriction,,,Machine Learning,DMOP.owl
hasParameterSetting,,,range,OpParameterSetting,,,Machine Learning,DMOP.owl
refined-by,,,domain,social-object,,"A catch-all class for entities from the social world. It includes agentive and non-agentive socially-constructed objects: descriptions, concepts, figures, collections, information objects. It could be equivalent to 'non-physical object', but we leave the possibility open of 'private' non-physical objects.",Machine Learning,DMOP.owl
DeviationDescription,,,type,NamedIndividual,,,Machine Learning,DMOP.owl
N4cf8d6957c36476e9fb872136a7c7322,,,type,Restriction,,,Machine Learning,DMOP.owl
N035eb386daef45a1a6e454e0f2a28672,,,onProperty,specifiesOutputClass,,,Machine Learning,DMOP.owl
N087ff7cf0983490ea71ca5f255635ded,,,qualifiedCardinality,1,,,Machine Learning,DMOP.owl
ToleratesHighDimensionality,,,has-quale,Yes,,,Machine Learning,DMOP.owl
ClusteringTask,,,subClassOf,N0fc3b441ceeb410598e628cfdfcd78be,,,Machine Learning,DMOP.owl
N7cb81d2fddfb4c7887eb3cb30afd5d08,,,allValuesFrom,float,,,Machine Learning,DMOP.owl
N4cb4d05545d744c3bc489b975d20b484,,,rest,N892d7e0487ed4726ba0094761c6af77d,,,Machine Learning,DMOP.owl
NonLinear,,,type,Linear-NonLinear,,,Machine Learning,DMOP.owl
N3ee5da4cf2d2408f9799b18dd9a6de72,,,type,Restriction,,,Machine Learning,DMOP.owl
N2342c6003e3b49d3bf65402db1cdc0c9,,,onProperty,sequenced-by,,,Machine Learning,DMOP.owl
NuSVC-Algorithm,,,type,Class,,,Machine Learning,DMOP.owl
RecurrentNNAlgorithm,,,type,Class,,,Machine Learning,DMOP.owl
N0cca4322acd7454e93371a0509f7f839,,,onProperty,hasOptimizationProblem,,,Machine Learning,DMOP.owl
Ndb80b2a838614250869bfb11908d0cc9,,,allValuesFrom,float,,,Machine Learning,DMOP.owl
parameter,,"A concept that classifies (in particular, it is 'valued by') regions, as defined by some description. Parameters are the descriptive counterpart of regions, and, as regions represent the qualities of perdurants or endurants, they can be requisites for some role or course.A parameter has at least one region that is a value for it.",subClassOf,concept,,"AKA C-Description. A non-physical object that is defined by a description s, and whose function is classifying entities from a ground ontology in order to build situations that can satisfy s.",Machine Learning,DMOP.owl
ProbabilityEstimationAlgorithm,,,type,Class,,,Machine Learning,DMOP.owl
L1HingeLoss,,"L1HingeLoss is the L1 norm of Hinge Loss, i.e., the sum of hinge loss measured over all training cases.",type,Thing,,,Machine Learning,DMOP.owl
Ncf6566c13d564b4f904945ea399b7b09,,,type,Restriction,,,Machine Learning,DMOP.owl
ClassificationModelingAlgorithm,,"ClassificationModelingAlgorithm: an algorithm that builds (learns) a classifier. For the moment, ClassificationModelingAlgorithm implicitly stands for propositional supervised classification algorithms. This is the reason its input range is specificed as LabeledDataSet and PropositionalDataSet. In the future we will add relational classification modeling algorithms as well as semi-supervised classification modeling algorithms.",comment,"ClassificationModelingAlgorithm: an algorithm that builds (learns) a classifier. For the moment, ClassificationModelingAlgorithm implicitly stands for propositional supervised classification algorithms. This is the reason its input range is specificed as LabeledDataSet and PropositionalDataSet. In the future we will add relational classification modeling algorithms as well as semi-supervised classification modeling algorithms.",,,Machine Learning,DMOP.owl
N86e69db79ba7470fb96ee6fc57e216c7,,,onProperty,has-quality,,,Machine Learning,DMOP.owl
N3ade17f62582405aa74245f6a9d984bb,,,someValuesFrom,description,,"A description is a social object which represents a conceptualization (e.g. a mental object or state), hence it is generically dependent on some agent and communicable. Descriptions define or use concepts or figures, are expressed by an information object and can be satisfied by situations. The typology of descriptions is still preliminary.",Machine Learning,DMOP.owl
sequenced-by,,,domain,perdurant,,,Machine Learning,DMOP.owl
N0601cea355a74852b4e8c7b8e867d57c,,,onProperty,hasDecisionStrategy,,,Machine Learning,DMOP.owl
PropositionalDataSet,,,definition,PropositionalDataSet: a dataset that consists of a single data table (see DataTable).,,,Machine Learning,DMOP.owl
N41e26cb9b8964ea7951a4343fd33d868,,,hasValue,Filter,,,Machine Learning,DMOP.owl
ModelingAlgorithm,,,subClassOf,N0e2db3141723457392e75e17fd03a1b4,,,Machine Learning,DMOP.owl
Minimize,,,type,Thing,,,Machine Learning,DMOP.owl
Nba8968dc0e9e43b4bd187d6f93db4c03,,,hasValue,ToleratesNoIrrelevantFeatures,,,Machine Learning,DMOP.owl
description,,"A description is a social object which represents a conceptualization (e.g. a mental object or state), hence it is generically dependent on some agent and communicable. Descriptions define or use concepts or figures, are expressed by an information object and can be satisfied by situations. The typology of descriptions is still preliminary.",subClassOf,N2279ed2cd3e54f7586a819cb98f1e84f,,,Machine Learning,DMOP.owl
hasPerformanceComponent,,,range,Nfd4a3650eced456e87f26bf49c8e93ef,,,Machine Learning,DMOP.owl
Nd072a488e5f148aa89c4b6c3e75ad3df,,,onProperty,hasDecisionBoundary,,,Machine Learning,DMOP.owl
ClassPredictorChi2AssociationMeasure,,,type,ClassificationModelEvalFunction,,,Machine Learning,DMOP.owl
CrossValidation,,,subClassOf,ModelEvaluationAlgorithm,,,Machine Learning,DMOP.owl
LinearModel,,,type,IO-Class,,,Machine Learning,DMOP.owl
NonParametricTest,,,type,Class,,,Machine Learning,DMOP.owl
OrthogonalCoordinateSystem,,,type,NamedIndividual,,,Machine Learning,DMOP.owl
NonlinearCombOfLinearCombinationsOfFeatures,,,type,Thing,,,Machine Learning,DMOP.owl
ErrorRateOfLinearClassifierLP,,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",subClassOf,CategoricalLabeledDataSetCharacteristic,,,Machine Learning,DMOP.owl
N1c2d60bb92e841abbbd5edda1d6aec03,,,type,Restriction,,,Machine Learning,DMOP.owl
N290ec7257796466e8f79f200d12e0bc9,,,type,Restriction,,,Machine Learning,DMOP.owl
description,,"A description is a social object which represents a conceptualization (e.g. a mental object or state), hence it is generically dependent on some agent and communicable. Descriptions define or use concepts or figures, are expressed by an information object and can be satisfied by situations. The typology of descriptions is still preliminary.",subClassOf,non-agentive-social-object,,"A social object that is not assumed to internally represent a description. Since social objects are dependent on physical ones, it is not trivial to interpret the local sense in which a social object 'internally represents' a plan. See 'agentive-social-object' for some discussion.",Machine Learning,DMOP.owl
N4db0fc8a467a46aa80b4560ca08ac100,,,someValuesFrom,RegressionModelingAlgorithm,,,Machine Learning,DMOP.owl
N05573f4d690b4254b45894c9727f1845,,,rest,nil,,,Machine Learning,DMOP.owl
MultiwayTreeBranchingFactor,,,has-quale,MultiwaySplit,,,Machine Learning,DMOP.owl
N739f95d17f384a568f7a64590e567ef3,,,qualifiedCardinality,1,,,Machine Learning,DMOP.owl
inherent-in,,,type,ObjectProperty,,,Machine Learning,DMOP.owl
Multinomial-N,,,type,Class,,,Machine Learning,DMOP.owl
N77463c00a24048218ba0e1f3d63b5d43,,,hasValue,1.0,,,Machine Learning,DMOP.owl
FeatureSubsetEvaluationTarget,,,type,FeatureEvaluationTarget,,,Machine Learning,DMOP.owl
HandlesNoContinuousFeatures,,,has-quale,No,,,Machine Learning,DMOP.owl
NLogNSquare,,,type,NamedIndividual,,,Machine Learning,DMOP.owl
N012304ec900f4cd89519655b1450ad05,,,hasValue,EagerLearningPolicy,,,Machine Learning,DMOP.owl
N6b6e0301b99144b7b064a4f25acf7213,,,onProperty,has-quality,,,Machine Learning,DMOP.owl
N8b360e69de5d4ec99e046cd73e3349dd,,,hasValue,HandlesMulticlassClassification,,,Machine Learning,DMOP.owl
AssociationRuleGenerationAlgorithm,,,subClassOf,PatternProcessingAlgorithm,,,Machine Learning,DMOP.owl
TransformationFunction,,,subClassOf,N2048ff9e9053422d9d0780f2052463a8,,,Machine Learning,DMOP.owl
implements,,,range,Nc5026063f7b44187beb3483f3c6aec9b,,,Machine Learning,DMOP.owl
Ne973aab62f1949968e8795cb1b12c795,,,someValuesFrom,DataSetClass,,,Machine Learning,DMOP.owl
Na49a5fe687e3496f9f83a2f367a32a31,,,type,Class,,,Machine Learning,DMOP.owl
N286476b14c0247559ccff79c0d6e0158,,,type,Restriction,,,Machine Learning,DMOP.owl
Nf4c0342659b543fcab8e06eab2da0ad5,,,onProperty,addresses,,,Machine Learning,DMOP.owl
N26340d2c0ace4b9da5e8d58106fbf2f3,,,onClass,StatisticalTest,,,Machine Learning,DMOP.owl
hasMember,,,definition,hasMember is a subproperty of hasPart in which the parts are members of a collection. Based on Winston et al. (1987) and Odell (1994).,,,Machine Learning,DMOP.owl
Nb40e7f637d57475297177486fd6994dc,,,intersectionOf,N39dd9dff9f904abe86cd9594969f0408,,,Machine Learning,DMOP.owl
TopKPctRule,,,subClassOf,N2715478137f349388e98b17df2ff1174,,,Machine Learning,DMOP.owl
CategoricalLabeledDataSet,,,subClassOf,Nf4a7a4d37da94dfc942d6035238a3f2e,,,Machine Learning,DMOP.owl
hasComplexityComponent,,,type,ObjectProperty,,,Machine Learning,DMOP.owl
N24eec6f59c764ceaac0e8372d38d83b5,,,unionOf,Ncf7da3607ce2436f99ef29ca3416aef9,,,Machine Learning,DMOP.owl
N24d061c904ec4861839bcf72b2a19a98,,,rest,Ncedffaf9bb014470bd214c409cc8aef0,,,Machine Learning,DMOP.owl
AverageReliefFeatureWeight,,,subClassOf,CategoricalLabeledDataSetCharacteristic,,,Machine Learning,DMOP.owl
Naf4894388f97409b8fd9fa4a166ed192,,,rest,Nfe38e148ebf24a1dbd3c86e3372b5d25,,,Machine Learning,DMOP.owl
PredictiveModelClass,,,type,Class,,,Machine Learning,DMOP.owl
List,,,disjointWith,SetOrBag,,,Machine Learning,DMOP.owl
SimilarityFunction,,,type,Class,,,Machine Learning,DMOP.owl
N44991c9695234d139d4e26e44832f622,,,type,Restriction,,,Machine Learning,DMOP.owl
GenToSpecRuleInduction,,,type,NamedIndividual,,,Machine Learning,DMOP.owl
region,,"We distinguish between a quality (e.g., the color  of a specific rose), and its value (e.g., a particular shade of red). The latter  is called quale, and describes the position of an individual quality within a certain  conceptual space (called here quality space) Gardenfors (2000). So when we say that  two roses have (exactly) the same color, we mean that their color qualities, which  are distinct, have the same position in the color space, that is they have the same  color quale.",subClassOf,abstract,,,Machine Learning,DMOP.owl
N286476b14c0247559ccff79c0d6e0158,,,onClass,WithinGroupsSumSquaresCrossProducts,,METAL characteristic: matrix of within-groups sums of squares and cross products of features.,Machine Learning,DMOP.owl
HypothesisStructure,,,disjointWith,IO-Object,,,Machine Learning,DMOP.owl
DM-Operator,,,disjointWith,FormalExpression,,,Machine Learning,DMOP.owl
N287081c8d01a4f1090c76c75faac9064,,,first,Unknown,,,Machine Learning,DMOP.owl
N7419dae489d14e4c99643139ea4924e0,,,rest,Nac99acb5ea91405f80ca962774d546c8,,,Machine Learning,DMOP.owl
N042b456d2a9b49ab8ebf4d0516dd0335,,,type,Restriction,,,Machine Learning,DMOP.owl
N512d8b5e3b674cf0ba46bbdeedb8f4e3,,,first,SearchStrategy,,,Machine Learning,DMOP.owl
N44001bc4e04f44309cd703f8711caf98,,,first,N2924a07feded40049df8b4541c05a3b5,,,Machine Learning,DMOP.owl
ValueThresholdRule,,"ValueThresholdRule is a binary DecisionRule where a decision is taken in one direction if the observed or computed value is greater than or equal to the specified threshold. In probabilistic binary classification, for instance, one can decide to predict the positive class if the posterior class probability is greater than a given threshold, eg 0.25, 0.5, etc. ",comment,"ValueThresholdRule is a binary DecisionRule where a decision is taken in one direction if the observed or computed value is greater than or equal to the specified threshold. In probabilistic binary classification, for instance, one can decide to predict the positive class if the posterior class probability is greater than a given threshold, eg 0.25, 0.5, etc. ",,,Machine Learning,DMOP.owl
KNN-Parameter,,NumNearestNeighbors: KNN parameter indicating the number of nearest neighbors to take into account in order to predict the target value of the query or test instance.,type,Class,,,Machine Learning,DMOP.owl
N7a8c02c059e9459b92194f8ec499a6e5,,,rest,N53d87c214a934efe8dcb4fcc80da868c,,,Machine Learning,DMOP.owl
N3e4901f966f94d7e937c1f813437ebbe,,,hasValue,Wrapper,,,Machine Learning,DMOP.owl
PatternSetBasedClassificationModel,,,type,NamedIndividual,,,Machine Learning,DMOP.owl
N1d8a752b3ba24df487c02e693b711d03,,,onClass,Yes-No-Unknown,,,Machine Learning,DMOP.owl
Nc50b619b6a15471796284f08109bf3e9,,,hasValue,EagerLearningPolicy,,,Machine Learning,DMOP.owl
social-object,,"A catch-all class for entities from the social world. It includes agentive and non-agentive socially-constructed objects: descriptions, concepts, figures, collections, information objects. It could be equivalent to 'non-physical object', but we leave the possibility open of 'private' non-physical objects.",subClassOf,N5ca87a0072d24e438e2768b67ae775e9,,,Machine Learning,DMOP.owl
N61313282e3454e469cbb25be21cdb205,,,first,Workflow,,,Machine Learning,DMOP.owl
N9ac43b552f494e79a96548c64aa4f938,,,first,No,,,Machine Learning,DMOP.owl
direct-predecessor,,Anti-transitive predecessor.,domain,particular,,"AKA 'entity'.Any individual in the DOLCE domain of discourse. The extensional coverage of DOLCE is as large as possible, since it ranges on 'possibilia', i.e all possible individuals that can be postulated by means of DOLCE axioms. Possibilia include physical objects, substances, processes, qualities,  conceptual regions, non-physical objects, collections and even arbitrary sums of objects.The class 'particular' features a covering partition that includes: endurant, perdurant, quality, and abstract. There are also some subclasses defined as unions of subclasses of 'particular' for special purposes: spatio-temporal-particular (any particular except abstracts)- physical-realization (any realization of an information object, defined in the ExtendedDnS ontology).",Machine Learning,DMOP.owl
N9d28bf9bd7844906beab6fccadd534d2,,,qualifiedCardinality,1,,,Machine Learning,DMOP.owl
N54a562af6a8e4032be45c663e9af9724,,,rest,nil,,,Machine Learning,DMOP.owl
hasTable,,,type,ObjectProperty,,,Machine Learning,DMOP.owl
HandlesNoCategoricalFeatures,,,has-quale,No,,,Machine Learning,DMOP.owl
N17c3b6137edb419cbddd1b48ebb23f76,,,rest,N5915c68796a346b29ed197750877d5b3,,,Machine Learning,DMOP.owl
RegressionTreeInductionAlgorithm,,,subClassOf,RegressionModelingAlgorithm,,,Machine Learning,DMOP.owl
N0c28fdbf2f344f968f66f205f68feffb,,,type,AllDifferent,,,Machine Learning,DMOP.owl
makes,,A particular case of an endurant participating in a perdurant that meets (is connected to the beginning of) the life of another endurant.,type,ObjectProperty,,,Machine Learning,DMOP.owl
hasOptimizationProblem,,,definition,hasOptimizationProblem: designates the optimization problem solved by a data mining algorithm in order to achieve its task (in particular induction and feature extraction). See OptimizationProblem.,,,Machine Learning,DMOP.owl
N932f82f9979846fba06fe775b1a8b45d,,,type,Restriction,,,Machine Learning,DMOP.owl
CrossValidation,,,type,Class,,,Machine Learning,DMOP.owl
method-of,,,type,ObjectProperty,,,Machine Learning,DMOP.owl
N7428c4a1420d456c86931a88e8cce798,,,onProperty,specifiesOutputClass,,,Machine Learning,DMOP.owl
MaxFeatureWeight,,,type,NamedIndividual,,,Machine Learning,DMOP.owl
N651086f385314b35a159e5f1fcacaee9,,,onProperty,hasParameter,,,Machine Learning,DMOP.owl
hasTable,,,subPropertyOf,hasComponent,,,Machine Learning,DMOP.owl
N6ed3100ab1a44a1eb95f2e74468ae6f8,,,rest,Ned944cbb93fa43f393797d5892403000,,,Machine Learning,DMOP.owl
N53317381291a4304b209d15754a9ce36,,,type,Class,,,Machine Learning,DMOP.owl
FeatureClassMutualInformation,,"FeatureClassMutualInformation:  For each categorical feature, the mutual information between the feature and the class. It is stored in a vector indexed by each categorical feature. [From METAL project].",type,Class,,,Machine Learning,DMOP.owl
FishersLinearDiscriminantModel,,,type,Class,,,Machine Learning,DMOP.owl
UnlabeledDataSetClass,,,subClassOf,DataSetClass,,,Machine Learning,DMOP.owl
N4e9fcf5521b049c5bff38e5e2487bf32,,,onClass,CanonicalCorrelationBestLinearCombination,,METAL characteristic: Canonical correlation of the best linear combination of features to distinguish between classes.,Machine Learning,DMOP.owl
IO-Object,,,disjointWith,Strategy,,"Strategy: In general, the term strategy refers to a plan of action designed to achieve a particular goal. In a computing context, the plan of action specified in a strategy is expressed as an algorithm. In DMOP, we reserve the term Algorithm to specifications that are sufficiently self-contained as to be implemented as distinct operators, and use the term Strategy to refer to a clearly identifiable plan of action that is embedded so tightly into an algorithm that it cannot be implemented as an independent operator. For instance, a learning algorithm typically embeds an optimization strategies and/or a strategy for controlling the complexity of the learned hypothesis; these are integral components that cannot be factored out without changing the way the learning algorithm operates, and are therefore classified as strategies rather than as algorithms.",Machine Learning,DMOP.owl
DM-Data,,,disjointWith,DM-Hypothesis,,,Machine Learning,DMOP.owl
ordered-by,,"a.k.a. 'expressed according to'. The relation between information objects and the languages, codes, grammars, etc. that they are ordered by. E.g. Dante's Comedy is ordered by Middle Age Italian language (in this case, a complex of encoding systems).In principle, any description can be used as an encoding system, but in practice, only some combinatorial systems are used for encoding (see module on 'information objects').",comment,"a.k.a. 'expressed according to'. The relation between information objects and the languages, codes, grammars, etc. that they are ordered by. E.g. Dante's Comedy is ordered by Middle Age Italian language (in this case, a complex of encoding systems).In principle, any description can be used as an encoding system, but in practice, only some combinatorial systems are used for encoding (see module on 'information objects').",,,Machine Learning,DMOP.owl
