Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
MissingValueImputationTask,None,None,subClassOf,Ne4995f6376c94951b73f7ba12de00f16,None,None,Machine Learning,DMOP.owl
Nc36760a57461471c971fefa7c28f032a,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
SingleFeatureEvaluationTarget,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
made-by,None,None,domain,endurant,None,None,Machine Learning,DMOP.owl
N65454f8988984a489405eb8423f1a935,None,None,allValuesFrom,SVC-Parameter,None,None,Machine Learning,DMOP.owl
Nb63cffd07a964b77b6fad7764f76e8f4,None,None,first,NumCyclesWithoutImprovement,None,None,Machine Learning,DMOP.owl
DualFormHardMarginAndL1SVC,None,"DualFormHardMarginAndL1SVC: the dual form cost function that corresponds to the dual form of the HardMarginAndL1SVC optimization problem. The dual form typically leads to a more efficient solution. However, contrary to the primal SVM cost function , the dual form cannot be decomposed into a LossComponent and a ComplexityComponent.",type,ClassificationModelEvalFunction,None,None,Machine Learning,DMOP.owl
N5059b532fc66464b9247df7b15bf2112,None,None,onProperty,specifiesInputClass,None,None,Machine Learning,DMOP.owl
MultiwaySplit,None,None,type,BinarySplit-MultiwaySplit,None,None,Machine Learning,DMOP.owl
Nff30873988064fadb298a98882f915bb,None,None,rest,nil,None,None,Machine Learning,DMOP.owl
Ncc7f3ce10ea94b6cbc56ea6072c8633c,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
Na5a8be6005f94d54a7e3e16eab0978ae,None,None,onClass,FeatureFrequentValue,None,"A categorical value should be marked as frequent, 
iff it is 50% more frequent than we would expect under a
uniform distribution. (e.g. 75% for a binary value)",Machine Learning,DMOP.owl
DM-Hypothesis,None,None,disjointWith,FormalExpression,None,None,Machine Learning,DMOP.owl
IO-Object,None,None,disjointWith,OptimizationProblem,None,"OptimizationProblem: In mathematics and computer science, an optimization problem is the problem of finding the best solution from all feasible solutions.",Machine Learning,DMOP.owl
SVC-Algorithm,None,"Hand et al. 01, p. 335, cite SVMs as examples of what they call the discriminative approach, which is in fact what Bishop 06 calls the discriminant function approach. Hand calls regression approach what Bishop calls discriminative. Both use the term generative for the same thing.",subClassOf,N5b786c1e2b5d4cff9c9ae6a97f1138df,None,None,Machine Learning,DMOP.owl
ClassCondProbMatrix,None,"ClassCondProbMatrix: A k x d matrix where k = number of classes and d = number of words/features, each cell M_{ci}, c = 1 ... k, i = 1 ... d, contains the probability of feature i in class c, and each row sums to 1. Used in all NaiveBayes models built from discrete or mixed discrete/continuous datasets.",type,Class,None,None,Machine Learning,DMOP.owl
NumberOfLeaves,None,None,internalComment,NumberOfLeaves: Replaced SizeOfTree with NumberOfLeaves for consistency with the division of ModelComplexityMeasures into MagnitudeOfModelParameters and NumberOfModelParameters [mh 20091229].,None,None,Machine Learning,DMOP.owl
N3ee37336517b4e6bbf070e23cb331482,None,None,maxQualifiedCardinality,1,None,None,Machine Learning,DMOP.owl
QuadraticEqualityConstraint,None,None,subClassOf,QuadraticConstraint,None,None,Machine Learning,DMOP.owl
N39ed513ddde04893b059e58b29ca6a94,None,None,someValuesFrom,RegressionModelingAlgorithm,None,None,Machine Learning,DMOP.owl
ModelingOperator,None,None,equivalentClass,Nb78f9111144c4dee9db31e5494ca1f46,None,None,Machine Learning,DMOP.owl
L1HingeLossPlusL2WeightsCostFunction,None,L1HingeLossPlusL2WeightsCostFunction is the regularized sum of the L1 norm of the hinge loss and the L2 norm of the model weights.,hasCombinationFunction,Sum,None,None,Machine Learning,DMOP.owl
ClassificationProblem,None,None,definition,"ClassificationProblemType refers to the number of classes that can be distinguished by a classifier (and by the classification algorithm that produced it). A binary classification problem consists in distinguishing two classes, a multiclass classification problem more than two classes. More recently one-class classifications consists in distinguishing instances of a selected class from non-instances, regardless of the class membership of these non-instances.",None,None,Machine Learning,DMOP.owl
Ndee7ca886db04834bf6bc1a6a469c11a,None,None,someValuesFrom,NumberOfRules,None,None,Machine Learning,DMOP.owl
N806df5bd78be43ce89a959a7ada436dd,None,None,onProperty,part,None,None,Machine Learning,DMOP.owl
DualFormL2SVCCostFunction,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
N92884e36613344d885ce6ef7e7713281,None,None,someValuesFrom,ModelComplexityMeasure,None,"ModelComplexityMeasure: this concept revolves around the (free) parameters of a model, but the crucial difference is whether one measures the number or the magnitude of the  model parameters. For the moment, the concept of ModelComplexityMeasure is used as the range of the object property hasComplexityComponent of CostFunction, but may be needed elsewhere since it's a crucial concept in DM.",Machine Learning,DMOP.owl
BottomRank,None,None,type,DecisionCriterion,None,None,Machine Learning,DMOP.owl
optionally-used-by,None,"A task (as any other concept) can be optional within some plan (or any description). In this case, it can be ignored in plan execution without affecting the satisfaction of the plan.Within plans, an task said to be optional should be placed in a way that preserves the topology (the connectedness) of the maximal task, except for sequential tasks, where it can be skipped without affecting the control structure. In fact, an optional task must either be component of a bag or sequential task, or have the concurrent task or the any-order task as a direct predecessor.",subPropertyOf,d-used-by,None,None,Machine Learning,DMOP.owl
DualFormL1SVCConstraint,None,None,type,Thing,None,None,Machine Learning,DMOP.owl
FeatureMaximumValue,None,None,type,Class,None,None,Machine Learning,DMOP.owl
GeneticFSAlgorithm,None,None,subClassOf,N4f2d4c13ff8f42fda0104d331a307ed0,None,None,Machine Learning,DMOP.owl
SingleFeature,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
project,None,"A project is a proactively satisfied method. Differently from a plan, a project includes at least one 'product' role to be played by some endurant (e.g. a house), or one 'result' role played by a perdurant with a definite participant (e.g. a restored state of a house).",type,Class,None,None,Machine Learning,DMOP.owl
Nf5077636af994b8eb064e5981af366a2,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
ClassificationModelingAlgorithm,None,"ClassificationModelingAlgorithm: an algorithm that builds (learns) a classifier. For the moment, ClassificationModelingAlgorithm implicitly stands for propositional supervised classification algorithms. This is the reason its input range is specificed as LabeledDataSet and PropositionalDataSet. In the future we will add relational classification modeling algorithms as well as semi-supervised classification modeling algorithms.",subClassOf,Nc3f25cad475d4d9abaa13e90fac78d6b,None,None,Machine Learning,DMOP.owl
Feature,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
ContinuousFeatureCharacteristic,None,None,type,Class,None,None,Machine Learning,DMOP.owl
FeatureValueFrequencies,None,"METAL characteristic: For each k value of the feature, the value frequency. It is stored in a vector indexed by each feature value.",type,Class,None,None,Machine Learning,DMOP.owl
HighVarianceProfile,None,None,has-quale,HighVariance,None,None,Machine Learning,DMOP.owl
LtRelOp,None,None,type,RelOp,None,None,Machine Learning,DMOP.owl
Na53327c7ade14f208d02fb13dd81a89a,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
SVC-Algorithm,None,"Hand et al. 01, p. 335, cite SVMs as examples of what they call the discriminative approach, which is in fact what Bishop 06 calls the discriminant function approach. Hand calls regression approach what Bishop calls discriminative. Both use the term generative for the same thing.",type,Class,None,None,Machine Learning,DMOP.owl
hasOutput,None,None,type,ObjectProperty,None,None,Machine Learning,DMOP.owl
HandlingOfContinuousFeatures,None,None,subClassOf,Ne7e97501028e44c3aeaa9d841a079f67,None,None,Machine Learning,DMOP.owl
TreeDepth,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
Nd500cd04cca647ab93853038f0971a9b,None,None,someValuesFrom,task,None,"A course used to sequence activities or other controllable perdurants (some states, processes), usually within methods. They must be defined by a method, but can be *used* by other kinds of descriptions. They are desire targets of some role played by an agent. Tasks can be complex, and ordered according to an abstract succession relation. Tasks can relate to ground activities or decision making; the last kind deals with typical flowchart content. A task is different both from a flowchart node, and from an action or action type.Tasks can be considered shortcuts for plans, since at least one role played by an agent has a desire attitude towards them (possibly different from the one that puts the task into action). In principle, tasks could be transformed into explicit plans.",Machine Learning,DMOP.owl
N108f23a6ec7d494d85ca9adee223514b,None,None,rest,nil,None,None,Machine Learning,DMOP.owl
quale-of,None,None,type,ObjectProperty,None,None,Machine Learning,DMOP.owl
N600e5f005b3c4829b28896dbec82cff5,None,None,onProperty,hasDataType,None,None,Machine Learning,DMOP.owl
Nf55d59e9c39947a099e578040079b8c6,None,None,rest,nil,None,None,Machine Learning,DMOP.owl
ClassBalancingTask,None,None,subClassOf,N53613e05ac874777bc073cb814a68f9c,None,None,Machine Learning,DMOP.owl
Nb53643fa3e5f47f48fea9fa835f8e6eb,None,None,rest,N792fb606e0294a63aa6a8773e3255dfc,None,None,Machine Learning,DMOP.owl
Nfe341567be25481397c4e6654679c0bb,None,None,onClass,N940fac410416478da0bddf600ed5e2c4,None,None,Machine Learning,DMOP.owl
MultiwayTreeBranchingFactor,None,None,has-quale,MultiwaySplit,None,None,Machine Learning,DMOP.owl
NaiveBayesMultinomialModel,None,"NaiveBayesMultinomialModel: The ModelParameter of NaiveBayesMultinomialModel is a k-list of vectors $\theta_c$, c=1 to k (number of classes), where $\theta_{ci}$ is the probability of word/feature i in class c, with i = 1 to p (number of words/boolean features). We can therefore represent this model parameter as a $k x p$ matrix whose rows are classes and columns are words/boolean features. We call this a MatrixOfCCProbs.",comment,boolean features. We call this a MatrixOfCCProbs.,None,None,Machine Learning,DMOP.owl
HypothesisStructure,None,None,disjointWith,OptimizationProblem,None,"OptimizationProblem: In mathematics and computer science, an optimization problem is the problem of finding the best solution from all feasible solutions.",Machine Learning,DMOP.owl
N916440ca5d454e0f809aac1aed1dfe4d,None,None,onClass,WrapperFWAlgorithm,None,None,Machine Learning,DMOP.owl
Nf55d59e9c39947a099e578040079b8c6,None,None,first,N69419dc928d944d49973452c77bf3298,None,None,Machine Learning,DMOP.owl
N2e8c42fee9ea476b92955bb43a6d77d7,None,None,rest,N567e2a1eb1d141ad80c18bdd1bba4281,None,None,Machine Learning,DMOP.owl
N84faf3384653462b8e7e08e4e5feb195,None,None,onProperty,covered-by,None,None,Machine Learning,DMOP.owl
Nbbd8287bcc4a4a85ad30b4260d04b4b0,None,None,rest,Nca69223339854c9cb05a9eb4b6165e8c,None,None,Machine Learning,DMOP.owl
ArbitraryLinearBoundary,None,None,type,LinearBoundary,None,None,Machine Learning,DMOP.owl
SearchStrategy,None,None,subClassOf,Nd9a751e39007473c8e3f21f99f317274,None,None,Machine Learning,DMOP.owl
N654c1d3bbb884218bc2e11c1b62c0e12,None,None,onProperty,hasRecoveryOfPursuit,None,"hasRecoveryOfPursuit: a property that relates a heuristic search algorithm to a value set named after Pearl's (1984, p. 65) ""recovery of pursuit, which can be described as either tentative or Irrevocable.See the concept RecoveryOfPursuit.",Machine Learning,DMOP.owl
N23293c016cb04d4f82418f79bb41154d,None,None,onProperty,implements,None,None,Machine Learning,DMOP.owl
boundary-of,None,None,subPropertyOf,proper-part-of,None,None,Machine Learning,DMOP.owl
DM-Task,None,None,disjointWith,IO-Object,None,None,Machine Learning,DMOP.owl
N6b41979dd8a24c05b76a8172ca50f70a,None,None,first,DM-Process,None,None,Machine Learning,DMOP.owl
SetOrBag,None,None,definition,"Set: A finite, unordered collection of objects. A bag or multi-set is a special case of sets which can contain the same object several times.",None,None,Machine Learning,DMOP.owl
Tuple,None,None,definition,"Tuple: a fixed-length, ordered array of objects which can be of different, possibly structured data types. Vectors are special cases of tuples which contain only primitive (numerical or symbolic) data types.",None,None,Machine Learning,DMOP.owl
particular,None,"AKA 'entity'.Any individual in the DOLCE domain of discourse. The extensional coverage of DOLCE is as large as possible, since it ranges on 'possibilia', i.e all possible individuals that can be postulated by means of DOLCE axioms. Possibilia include physical objects, substances, processes, qualities,  conceptual regions, non-physical objects, collections and even arbitrary sums of objects.The class 'particular' features a covering partition that includes: endurant, perdurant, quality, and abstract. There are also some subclasses defined as unions of subclasses of 'particular' for special purposes: spatio-temporal-particular (any particular except abstracts)- physical-realization (any realization of an information object, defined in the ExtendedDnS ontology).",comment,"AKA 'entity'.Any individual in the DOLCE domain of discourse. The extensional coverage of DOLCE is as large as possible, since it ranges on 'possibilia', i.e all possible individuals that can be postulated by means of DOLCE axioms. Possibilia include physical objects, substances, processes, qualities,  conceptual regions, non-physical objects, collections and even arbitrary sums of objects.The class 'particular' features a covering partition that includes: endurant, perdurant, quality, and abstract. There are also some subclasses defined as unions of subclasses of 'particular' for special purposes: spatio-temporal-particular (any particular except abstracts)- physical-realization (any realization of an information object, defined in the ExtendedDnS ontology).",None,None,Machine Learning,DMOP.owl
PiecewiseLinearBoundary,None,"PiecewiseLinearBoundary: (Almost) synonymous with PiecewiseMultivariateLinearBoundary or PiecewiseObliqueLinearBoundary, but includes PiecewiseAxisParallelBoundary as well.",subClassOf,NonlinearBoundary,None,None,Machine Learning,DMOP.owl
C4.5CrispTreeModel,None,None,subClassOf,N32e373c15a434ec2aaff1920252f0bb0,None,None,Machine Learning,DMOP.owl
ConditionalIndependenceAssumption,None,None,type,Thing,None,None,Machine Learning,DMOP.owl
SVC-Algorithm,None,"Hand et al. 01, p. 335, cite SVMs as examples of what they call the discriminative approach, which is in fact what Bishop 06 calls the discriminant function approach. Hand calls regression approach what Bishop calls discriminative. Both use the term generative for the same thing.",subClassOf,Nf94bcdc9711b4dbe9334717c4a369002,None,None,Machine Learning,DMOP.owl
Nbea48cc7dbd64686bc549774bdfacc18,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
overlaps,None,None,subPropertyOf,mediated-relation,None,None,Machine Learning,DMOP.owl
N2e0bd3556e5f445ca2be358db4b54b67,None,None,unionOf,N5d1327e91edb454c880fbb14fd94196e,None,None,Machine Learning,DMOP.owl
UnsupervisedDiscretizationAlgorithm,None,None,subClassOf,FeatureDiscretizationAlgorithm,None,None,Machine Learning,DMOP.owl
N0439fff218ef43199a70712be9cd22c0,None,None,distinctMembers,Ncec91057dad4426bbdd953120e030d38,None,None,Machine Learning,DMOP.owl
N05cb60f5381840719a42635cf33d598e,None,None,onProperty,addresses,None,None,Machine Learning,DMOP.owl
CombinationFunction,None,None,subClassOf,MathematicalFunction,None,None,Machine Learning,DMOP.owl
immediate-relation,None,None,type,ObjectProperty,None,None,Machine Learning,DMOP.owl
plan,None,"A plan is a method for executing or performing a procedure or a stage of a procedure.A plan must use both at least one role played by an agent, and at least one task.Finally, a plan has a goal as proper part, and can also have regulations and other descriptions as proper parts.",subClassOf,Nbd9e33073fdc4951953dd9bb0c3a7417,None,None,Machine Learning,DMOP.owl
NLogN,None,None,type,ComputationalComplexityFunction,None,None,Machine Learning,DMOP.owl
N96aa686b72bf469fb06a8076bb919956,None,None,onProperty,has-quale,None,None,Machine Learning,DMOP.owl
RatioOfAverageIntraInterDistances,None,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",subClassOf,CategoricalLabeledDataSetCharacteristic,None,None,Machine Learning,DMOP.owl
Nb53643fa3e5f47f48fea9fa835f8e6eb,None,None,first,DM-Data,None,None,Machine Learning,DMOP.owl
HypothesisTestBasedFSAlgorithm,None,None,subClassOf,FeatureSelectionAlgorithm,None,FeatureSelectionAlgorithm is abbreviated as FSAlgorithm or FSA when used as a suffix.,Machine Learning,DMOP.owl
orders,None,None,type,ObjectProperty,None,None,Machine Learning,DMOP.owl
DescriptiveModel,None,None,type,IO-Class,None,None,Machine Learning,DMOP.owl
CorrelationSimilarity,None,None,handlesFeatureType,Real,None,None,Machine Learning,DMOP.owl
Nd41ee0c6a69f41a5a851e969f46d7399,None,None,hasValue,Vector,None,None,Machine Learning,DMOP.owl
HypothesisApplicationTask,None,None,definition,HypothesisApplicationTask: the task of applying an induced model or pattern set to new data.,None,None,Machine Learning,DMOP.owl
MeanValueRegressor,None,None,subClassOf,BaselineRegressor,None,None,Machine Learning,DMOP.owl
N1a0c7d8a322343f38fd9bba88de64233,None,None,allValuesFrom,Nbedbcf96848b4803909006a4d4e2f1a9,None,None,Machine Learning,DMOP.owl
LDAOptimizationProblem,None,None,type,Thing,None,None,Machine Learning,DMOP.owl
course,None,"A concept that classifies (in particular, it 'sequences') perdurants (processes, events, or states), as a component of some description. Courses are the descriptive counterpart of perdurants, and, since perdurants have endurants as participants, they are usually the function of some role.",subClassOf,N01acf8daa887433b914c1a4e8d0ccad5,None,None,Machine Learning,DMOP.owl
SignRule,None,None,type,ValueThresholdRule,None,"ValueThresholdRule is a binary DecisionRule where a decision is taken in one direction if the observed or computed value is greater than or equal to the specified threshold. In probabilistic binary classification, for instance, one can decide to predict the positive class if the posterior class probability is greater than a given threshold, eg 0.25, 0.5, etc. ",Machine Learning,DMOP.owl
N089f99bea396464d9a83a03afa9dc9b1,None,None,intersectionOf,Ndafb3957d14f45f3a9a725c1d7eb48d4,None,None,Machine Learning,DMOP.owl
N55e2e6a55a144d248d635cfe5193adce,None,None,someValuesFrom,AlgorithmAssumption,None,None,Machine Learning,DMOP.owl
hasOptimizationStrategy,None,None,range,OptimizationStrategy,None,None,Machine Learning,DMOP.owl
NonLinearityOfLinearClassifierLP,None,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",comment,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",None,None,Machine Learning,DMOP.owl
hasMeanValue,None,None,domain,ContinuousFeature,None,None,Machine Learning,DMOP.owl
ClusteringModel,None,None,subClassOf,DescriptiveModel,None,None,Machine Learning,DMOP.owl
N969890d40c1e4f5790efdada585b5c5d,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
Na364fcc6d5e74a09a7a63e6a87d7ecad,None,None,hasValue,Matrix,None,Matrix: a tuple of vectors.,Machine Learning,DMOP.owl
LogLikelihoodOfNaiveClassCondProbs,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
DataFrame,None,None,definition,DataFrame: a tuple of arbitrary primitive types.,None,None,Machine Learning,DMOP.owl
Ndf2a5a2a1e1c4003be977d866deedf16,None,None,distinctMembers,Nc6021545e4324c288393ba128a543a74,None,None,Machine Learning,DMOP.owl
hasPreprocessor,None,None,internalComment,"hasPreprocessor: Replace with hasComponentStep and its subObjectProperties, step1, step2, etc.?",None,None,Machine Learning,DMOP.owl
SigmoidKernel,None,None,subClassOf,NonpositiveSemidefiniteKernel,None,None,Machine Learning,DMOP.owl
N2f822ede9f564157b80e92e2e93b1da7,None,None,type,AllDifferent,None,None,Machine Learning,DMOP.owl
N291dea9c2f89421d877667b81fe40bba,None,None,rest,Nf9621068e62d49e1b0e3093bd80c72f2,None,None,Machine Learning,DMOP.owl
ScopeOfSelection,None,None,subClassOf,abstract-region,None,A region at which only abstract qualities can be directly located. It assumes some metrics for abstract (neither physical nor temporal) properties.,Machine Learning,DMOP.owl
NaiveBayesAlgorithm,None,NaiveBayesAlgorithm might subsequently be subsumed by BayesNetAlgorithm.,subClassOf,N9c24f17ef76c4a08bec2ef8f1594ac33,None,None,Machine Learning,DMOP.owl
