Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
ValueOfVariable,ValueOfVariable,"
A value of an experimental variable is ""the particular quantity, number or amount"" of the variable. Reference: Collins Softback English Dictionary, HarperCollins Publishers, Glasgow, 1993.
",disjointWith,ScientificTask,ScientificTask,"
A scientific task is a portion of scientific study. Reference: Based on The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",Experimental workflow,EXPO04-19-06.owl
RepresentationForm,RepresentationForm,"
The concept is outside EXPO
",comment,"
The concept is outside EXPO
",None,None,Experimental workflow,EXPO04-19-06.owl
AdminInfoProvider,AdminInfoProvider,"
administrative information about a provider of biological samples, experimental equipment etc, is data (a name, an organization, contact details etc.) used for administrative purposes such as to provide/ control access/ storage of the experimental results/ protocols etc.
",comment," protocols etc.
",None,None,Experimental workflow,EXPO04-19-06.owl
StandardOperatingProcedure,StandardOperatingProcedure,"
A standard operating procedure is a prescribed procedure to be followed routinely. Reference: HyperDictionary:  http://searchbox.hyperdictionary.com/dictionary/standard+operating+procedure
",subClassOf,N54e14c0ae7284afb8289212a022aef17,None,None,Experimental workflow,EXPO04-19-06.owl
PoblemAnalysis,PoblemAnalysis,"
Problem analysis is the scientific task of reducing a problem's complexity. Reference: based on The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",subClassOf,ScientificTask,ScientificTask,"
A scientific task is a portion of scientific study. Reference: Based on The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",Experimental workflow,EXPO04-19-06.owl
AdminInfoExperiment,AdminInfoExperiment,"
Administrative information about an experiment is data about the experiment (status, author, last modification, etc) used for administrative purposes such as to provide/ control access/ storage of the experimental results/ protocols etc.
",label,AdminInfoExperiment,None,None,Experimental workflow,EXPO04-19-06.owl
ProcedureExecuteExperiment,ProcedureExecuteExperiment,"
A procedure to execute an experiment is an explicit detailed specification of an experiment, which describes experimental methods, experimental equipment, a plan of experimental actions, a status of the procedure, etc.
",subClassOf,N993d9bcbf06b422382f42474bbcb5702,None,None,Experimental workflow,EXPO04-19-06.owl
Language,Language,"
SUMO: http://www.ontologyportal.org/ ""A system of signs for expressing thought. The system can be either natural or artificial, i.e. something that emerges gradually as a cultural artifact or something that is intentionally created by a person or group of people.""
",disjointWith,Sentence,Sentence,"
""A syntactically well-formed formula of a Language. It includes, at minimum, a predicate and a subject (which may be explicit or implicit), and it expresses a Proposition."" (SUMO)
",Experimental workflow,EXPO04-19-06.owl
ClassificationOfDomains,ClassificationOfDomains,"
A classification of domains is a hierarchical system of categories  - scientific domains.
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
ResultEvaluating,ResultEvaluating,"
Result evaluating is the act of determining the value of experimental results. Reference: Based on The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
Dispersion,Dispersion,"
The concept is outside of EXPO
",disjointWith,LevelOfSignificance,LevelOfSignificance,"
The concept is outside of EXPO
",Experimental workflow,EXPO04-19-06.owl
Nfb41239efffd4c8c8091fe5c707d1301,None,None,type,Restriction,None,None,Experimental workflow,EXPO04-19-06.owl
GeneralityOfHypothesis,GeneralityOfHypothesis,"
The generality of an hypothesis is an attribute of an experimental hypothesis which characterizes whether the hypothesis is inductive (more general) or abductive (less general).
",label,GeneralityOfHypothesis,None,None,Experimental workflow,EXPO04-19-06.owl
has_ID,None,None,domain,AdminInfoExperiment,AdminInfoExperiment,"
Administrative information about an experiment is data about the experiment (status, author, last modification, etc) used for administrative purposes such as to provide/ control access/ storage of the experimental results/ protocols etc.
",Experimental workflow,EXPO04-19-06.owl
hasPart,hasPart,None,label,hasPart,None,None,Experimental workflow,EXPO04-19-06.owl
N54e14c0ae7284afb8289212a022aef17,None,None,onProperty,has_latest_modification,None,None,Experimental workflow,EXPO04-19-06.owl
has_sample_size,None,None,range,SampleSize,SampleSize,"
The sample size is a number of members of the sample.
",Experimental workflow,EXPO04-19-06.owl
has_unknown_variable,None,None,subPropertyOf,hasPart,hasPart,None,Experimental workflow,EXPO04-19-06.owl
N1dd53f8ea90540b286ee16f69cdeb4e8,None,None,onProperty,has_status,None,None,Experimental workflow,EXPO04-19-06.owl
Requirements,Requirements,"
The concept is outside of EXPO
",disjointWith,ExperimentalDesignStrategy,ExperimentalDesignStrategy,"
An experimental design strategy is a collection of typical techniques applied to an experimental design, such as e.g. <comparison a control and a target groups>.
",Experimental workflow,EXPO04-19-06.owl
Submitter,Submitter,"
A submitter of a protocol, a SOP, experimental results, etc. is the person (or a group) who submits the document. Reference: Based on The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",subClassOf,N8039fd06eef948dea6717528e57d14af,None,None,Experimental workflow,EXPO04-19-06.owl
N4c4c4af8606b4d3faa6771e319e97348,None,None,allValuesFrom,ModelRepresentation,ModelRepresentation,"
A model representation is a formalized description of the experimental model, for instance a text or formulas.
",Experimental workflow,EXPO04-19-06.owl
ImproperSampling,ImproperSampling,"
Improper sampling is an observational error due to mistakes in a forming a sample: applying sampling methods.
",label,ImproperSampling,None,None,Experimental workflow,EXPO04-19-06.owl
ScientificInvestigation,ScientificInvestigation,"
Scientific investigation is a systematic examination; careful and detailed research. Reference: The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",subClassOf,Nfec121c430f14d97a70cccda39b7ba41,None,None,Experimental workflow,EXPO04-19-06.owl
Abstract,Abstract,"
""Properties or qualities as distinguished from any particular embodiment of the properties/qualities in a physical medium. Instances of Abstract can be said to exist in the same sense as mathematical objects such as sets and relations, but they cannot exist at a particular place and time without some physical encoding or embodiment."" (SUMO)
",comment,"qualities in a physical medium. Instances of Abstract can be said to exist in the same sense as mathematical objects such as sets and relations, but they cannot exist at a particular place and time without some physical encoding or embodiment."" (SUMO)
",None,None,Experimental workflow,EXPO04-19-06.owl
Plan,Plan,"
The concept is outside of EXPO;
SUMO: ""A specification of a sequence of Processes which is intended to satisfy a specified purpose at some future time."" http://www.ontologyportal.org/
",subClassOf,Procedure,Procedure,"
A sequence-dependent specification. Some examples are ComputerPrograms, finite-state machines, cooking recipes, musical scores, conference schedules, driving directions, and the scripts of plays and movies. Reference: SUMO http://berkelium.teknowledge.com:8080/sigma/home.jsp
",Experimental workflow,EXPO04-19-06.owl
N1e3bf2c1d3ac462caf486f0390a39c48,None,None,cardinality,1,None,None,Experimental workflow,EXPO04-19-06.owl
has__name,None,None,range,ActionName,ActionName,"
An action name is a name that refers to an action
",Experimental workflow,EXPO04-19-06.owl
Nba02f073551940c8b5917e0efa4bc7a3,None,None,onProperty,has_admin_info,None,None,Experimental workflow,EXPO04-19-06.owl
Na8bc1579bef44fa9824f9e0f9c8a04bb,None,None,type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
N491245ffb7344bacb7a492e3a1332638,None,None,first,ScientificExperiment,ScientificExperiment,"
A scientific experiment is a research method which permits the investigation of cause-effect relations between known and unknown (target) variables of the field of study (domain). An experimental result cannot be known with certainty in advance.
",Experimental workflow,EXPO04-19-06.owl
ModelAssumption,ModelAssumption,"
A model assumption is an assumption about the domain used as a premise, it is necessarily explicit - written in the form of a text.
",disjointWith,Requirements,Requirements,"
The concept is outside of EXPO
",Experimental workflow,EXPO04-19-06.owl
has_method,None,None,type,ObjectProperty,None,None,Experimental workflow,EXPO04-19-06.owl
RecordingAction,RecordingAction,"
A recording action is an experimental action for preserving information about variables of the experiment for control, analysis, and interpretation of the experimental results.
",comment,"
A recording action is an experimental action for preserving information about variables of the experiment for control, analysis, and interpretation of the experimental results.
",None,None,Experimental workflow,EXPO04-19-06.owl
Requirements,Requirements,"
The concept is outside of EXPO
",disjointWith,ModelAssumption,ModelAssumption,"
A model assumption is an assumption about the domain used as a premise, it is necessarily explicit - written in the form of a text.
",Experimental workflow,EXPO04-19-06.owl
LinguisticExpression,LinguisticExpression,"
""This is the subclass of ContentBearingPhysical which are language-related. Note that this Class encompasses both Language and the the elements of Languages, e.g. Words."" SUMO: http://www.ontologyportal.org/
",label,LinguisticExpression,None,None,Experimental workflow,EXPO04-19-06.owl
SampleRepresentativeness,SampleRepresentativeness,"
Sample representativeness is an attribute of a sample which characterizes how the sample is representative for analysis and  estimation the characteristics of a the parent group.
",subClassOf,AttributeSample,AttributeSample,"
An attribute of a sample is an essential characteristic of a sample, e.g. <representativeness>.
",Experimental workflow,EXPO04-19-06.owl
ScientificActivity,ScientificActivity,"
Scientific activity is the process of performing a scientific task.
",subClassOf,Process,Process,"
The concept is out EXPO.
""Intuitively, the class of things that happen and have temporal parts or stages. Examples include extended events like a football match or a race, actions like Pursuing and Reading, and biological processes. The formal definition is: anything that lasts for a time but is not an Object. Note that a Process may have participants 'inside' it which are Objects, such as the players in a football match. In a 4D ontology, a Process is something whose spatiotemporal extent is thought of as dividing into temporal stages roughly perpendicular to the time-axis."" Reference:SUMO http://berkelium.teknowledge.com:8080/sigma/home.jsp
",Experimental workflow,EXPO04-19-06.owl
N09f04b7f9dfa4de9bfd6c223c6885d10,None,None,onProperty,has_value_of_variable_,None,None,Experimental workflow,EXPO04-19-06.owl
N514e3d8aa5ff453e8c0abe46749b644d,None,None,rest,N271188b7f20243548d068c744c639aa2,None,None,Experimental workflow,EXPO04-19-06.owl
has_generality,None,None,domain,ExperimentalHypothesis,ExperimentalHypothesis,"
An experimental hypothesis is a statement about cause-effect relations between known and unknown (target) variables of the domain of the experiment ""that shall be in accordance with known facts*"" to be verified at the experiment. Reference: The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",Experimental workflow,EXPO04-19-06.owl
Quantity,Quantity,"
""Any specification of how many or how much of something there is. Accordingly, there are two subclasses of Quantity: Number (how many) and PhysicalQuantity (how much)."" (SUMO)
",subClassOf,Abstract,Abstract,"
""Properties or qualities as distinguished from any particular embodiment of the properties/qualities in a physical medium. Instances of Abstract can be said to exist in the same sense as mathematical objects such as sets and relations, but they cannot exist at a particular place and time without some physical encoding or embodiment."" (SUMO)
",Experimental workflow,EXPO04-19-06.owl
N8aae2edde3c340d9ab8145283da7bff7,None,None,type,Restriction,None,None,Experimental workflow,EXPO04-19-06.owl
ClassificationByModel,ClassificationByModel,"
The classification by a model is a hierarchical system of categories  - types of experiments  - according to amount of factors in the design of the experiments, for instance <one-factor experiment >, <two-factor experiment>, <multi-factor experiment>.
",subClassOf,ClassificationOfExperiments,ClassificationOfExperiments,"
A classification of experiments is a hierarchical system of categories  - types of experiments  - according to their domains or used models of experiments.
",Experimental workflow,EXPO04-19-06.owl
Fact,Fact,"
The concept is outside EXPO;
A fact is a particular truth known by actual observation or authentic testimony, as opposed to what is merely inferred, or to a conjecture or fiction; a datum of experience, as distinguished from the conclusions that may be based upon it. Reference: The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
ResearchMethod,ResearchMethod,"
A research method is a way to solve a scientific task ""based upon or regulated by science, as opposed to mere traditional rules or empirical dexterity.""
Reference: The Oxford English Dictionary http://dictionary.oed.com
",comment,"dictionary.oed.com
",None,None,Experimental workflow,EXPO04-19-06.owl
FalsePpositive,FalsePpositive,"
A false positive is an hypothesis acceptance mistake where the hypothesis being tested is actually false and we conclude that it is. Reference:  based on Introduction to Probability and Statistics. 4th ed. H.L. Alder, E.B. Roessler, W.H. Freeman & Co., 1968.
",label,FalsePpositive,None,None,Experimental workflow,EXPO04-19-06.owl
StratifiedSampling,StratifiedSampling,"
Stratified sampling is a sampling method where a random sample is taking from different levels (strata) of the parent group. Reference: Based on Langley, R. Practical Statistics. David&Charles Ltd, Newton,1971.
",label,StratifiedSampling,None,None,Experimental workflow,EXPO04-19-06.owl
Number,Number,"
""A measure of how many things there are, or how much there is, of a certain kind. Numbers are subclassed into RealNumber, ComplexNumber, and ImaginaryNumber."" (SUMO)
",subClassOf,Quantity,Quantity,"
""Any specification of how many or how much of something there is. Accordingly, there are two subclasses of Quantity: Number (how many) and PhysicalQuantity (how much)."" (SUMO)
",Experimental workflow,EXPO04-19-06.owl
SampleSize,SampleSize,"
The sample size is a number of members of the sample.
",label,SampleSize,None,None,Experimental workflow,EXPO04-19-06.owl
ComparisonControl_TargetGroups,ComparisonControl/TargetGroups,"
A comparison control/ target groups is a paired comparison experimental design strategy where two groups of experimental objects are used, a control group which is not affected by experimental factor(s), and a target group which is affected by the experimental factor(s).
",subClassOf,PairedComparison,PairedComparison,"
A paired comparison is an experimental design strategy where two groups of experimental objects are used to compare affects of the experimental factor(s). Reference:  Based on: Langley, R. Practical Statistics. David&Charles Ltd, Newton,1971.
",Experimental workflow,EXPO04-19-06.owl
TimeMeasure,TimeMeasure,"
""The class of temporal durations (instances of TimeDuration) and positions of TimePoints and TimeIntervals along the universal timeline (instances of TimePosition)."" (SUMO)
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
Adequacy,Adequacy,"
The concept is outside of EXPO
",disjointWith,LevelOfSignificance,LevelOfSignificance,"
The concept is outside of EXPO
",Experimental workflow,EXPO04-19-06.owl
N74397c468cc2447eb6a37a7c553467bb,None,None,cardinality,1,None,None,Experimental workflow,EXPO04-19-06.owl
Classifying,Classifying,"
A process of classification is the act of classifying into given classes according to common characteristics. Reference:The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
SUMO: ""The Class of IntentionalPsychologicalProcesses which involve attaching a name or category to a thing or set of things. Note that Classifying is distinguished from Learning by the fact that the latter covers the acquisition by a CognitiveAgent of any Proposition, while the former involves the assignment of a label or category.""
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
Variable,Variable,"
The concept is outside of EXPO
",disjointWith,ExperimentalDesignStrategy,ExperimentalDesignStrategy,"
An experimental design strategy is a collection of typical techniques applied to an experimental design, such as e.g. <comparison a control and a target groups>.
",Experimental workflow,EXPO04-19-06.owl
has_sample,None,None,domain,GroupExperimentalObject,GroupExperimentalObject,"
A group of experimental objects is a collection of studying in a scientific investigation objects.
",Experimental workflow,EXPO04-19-06.owl
RepresentationExperimentalResults,RepresentationExperimentalResults,"
A representation of experimental results is a �reproduction of the results in some material or tangible form? Reference: The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",disjointWith,RepresentationExperimentalObservation,RepresentationExperimentalObservation,"
A representation of experimental observations is a �reproduction of the observations in some material or tangible form? preferably according to a data representation standard.  Reference: The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",Experimental workflow,EXPO04-19-06.owl
One-factorExperiment,One-factorExperiment,"
One-factor experiment is an experiment with a model containing one fixed controllable variable.
",label,One-factorExperiment,None,None,Experimental workflow,EXPO04-19-06.owl
N61256c4b64d142c896f754661e69177e,None,None,first,ExperimentalMethod,ExperimentalMethod,"
An experimental method is a way to solve a scientific task by executing a scientific experiment.
",Experimental workflow,EXPO04-19-06.owl
has_timing,None,None,domain,ExperimentalAction,ExperimentalAction,"
An experimental action is a process of manipulation in the domain of the experiment in order to achive a particular sub goal, which is a part of the goal of the experiment.
",Experimental workflow,EXPO04-19-06.owl
MethodApplicabilityCondition,MethodApplicabilityCondition,"
A method applicability condition is an applicability condition that specifies the contexts in which the experimental method may be applied to achieve the method goal.
",disjointWith,ExperimentalRequirements,ExperimentalRequirements,"
Experimental requirements are conditions (legal, ethic, economic, etc.) for preparation and execution of an experiment which must be complied with. Reference: Based on The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",Experimental workflow,EXPO04-19-06.owl
Model,Model,"
The concept is outside of EXPO
",disjointWith,Variable,Variable,"
The concept is outside of EXPO
",Experimental workflow,EXPO04-19-06.owl
ModelAssumption,ModelAssumption,"
A model assumption is an assumption about the domain used as a premise, it is necessarily explicit - written in the form of a text.
",subClassOf,Proposition,Proposition,"
Propositions are Abstract entities that express a complete thought or a set of such thoughts. As an example, the formula '     (instance Yojo Cat)' expresses the Proposition that the entity named Yojo is an element of the Class of Cats. Note that propositions are not restricted to the content expressed by individual sentences of a Language. They may encompass the content expressed by theories, books, and even whole libraries. It is important to distinguish Propositions from the ContentBearingObjects that express them. A Proposition is a piece of information, e.g. that the cat is on the mat, but a ContentBearingObject is an Object that represents this information. A Proposition is an abstraction that may have multiple representations: strings, sounds, icons, etc. For example, the Proposition that the cat is on the mat is represented here as a string of graphical characters displayed on a monitor and/or printed on paper, but it can be represented by a sequence of sounds or by some non-latin alphabet or by some cryptographic form. 
Reference: SUMO http://berkelium.teknowledge.com:8080/sigma/home.jsp
",Experimental workflow,EXPO04-19-06.owl
N45c78b70b7814d48bb55ed89c82b29ca,None,None,type,Restriction,None,None,Experimental workflow,EXPO04-19-06.owl
Normal_Disease,Normal/Disease,"
A normal/ disease design strategy is a sub-class of a comparison control/ target groups strategy, where the target group is group of experimental objects with a disease.
",disjointWith,Treated_Untreated,Treated/Untreated,"
A treated/ untreated design strategy is a sub-class of a comparison control/ target groups strategy where the target group receives a specified treatment.
",Experimental workflow,EXPO04-19-06.owl
ExperimentalDesignStrategy,ExperimentalDesignStrategy,"
An experimental design strategy is a collection of typical techniques applied to an experimental design, such as e.g. <comparison a control and a target groups>.
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
Classification,Classification,"
Classification is the scientific task of forming a hierarchical system of categories.
",label,Classification,None,None,Experimental workflow,EXPO04-19-06.owl
TechnicalDescription,TechnicalDescription,"
A technical description is a representation of technical information about experimental equipment or a subject (robot) in order to provide the user with information about a technology's purpose and functions, components and construction, and operation and maintenance? Reference: UA: http://www.u.arizona.edu/~menchaca/engl308/assignments/descriptions.htm
",subClassOf,Representation,Representation,"
The concept is outside EXPO
",Experimental workflow,EXPO04-19-06.owl
Necd855eba266495d85257c65d3ea809e,None,None,type,Restriction,None,None,Experimental workflow,EXPO04-19-06.owl
HawthorneEffect,HawthorneEffect,"
A Hawthorne effect is a object effect where results are due to subjects' expectations of desired behaviour in the research setting or the social psychology of the experiment. Reference: Davis, J., Psychological research methods.
",disjointWith,ExperimenteeBias,ExperimenteeBias,"
An experimentee bias is an object effect where results of an experiment are due to systematic differences in research participants (""experimetees"") assigned to different conditions or treatments. Reference: Davis, J., Psychological research methods.
",Experimental workflow,EXPO04-19-06.owl
SystematicSampling,SystematicSampling,"
Systematic sampling is a sampling method where each member of a sample is selecting according to a definite rule (except of random choice).
",label,SystematicSampling,None,None,Experimental workflow,EXPO04-19-06.owl
CorporateName,CorporateName,"
The concept is outside of EXPO
",disjointWith,IDExperiment,IDExperiment,None,Experimental workflow,EXPO04-19-06.owl
AttributeGroup,AttributeGroup,"
An attribute of a group is an essential characteristic of a group, e.g. <variability>.
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
AdministrativeInformation,AdministrativeInformation,"
administrative information is data about an experimental subject, an experimental object, experimental documents etc., used for administrative purposes such as to provide/ control access/ storage of the experimental results/ protocols etc.
",disjointWith,Variable,Variable,"
The concept is outside of EXPO
",Experimental workflow,EXPO04-19-06.owl
AttributeGroup,AttributeGroup,"
An attribute of a group is an essential characteristic of a group, e.g. <variability>.
",disjointWith,AttributeOfHypothesis,AttributeOfHypothesis,"
An attribute of an hypothesis is an essential characteristic of an experimental hypothesis, e.g. <explicitness of an hypothesis>, <complexity of an hypothesis>.
",Experimental workflow,EXPO04-19-06.owl
ExperimentalStandard,ExperimentalStandard,"
An experimental standard is ""an accepted or approved"" procedure in the domain of an experiment, for example a standard for data representation, or a standard for measurements.  Reference: Collins Softback English Dictionary, HarperCollins Publishers, Glasgow, 1993.
",disjointWith,Requirements,Requirements,"
The concept is outside of EXPO
",Experimental workflow,EXPO04-19-06.owl
ObservationalError,ObservationalError,"
An observational error is the difference between observations and their true values, or to values that are accepted as being true. Reference: USGS glossary: biology.usgs.gov/npsveg/glossary.html
",label,ObservationalError,None,None,Experimental workflow,EXPO04-19-06.owl
Text,Text,"
""A LinguisticExpression or set of LinguisticExpressions that perform a specific function related to Communication, e.g. express a discourse about a particular topic, and that are inscribed in a CorpuscularObject by Humans.""
SUMO: http://www.ontologyportal.org/
",subClassOf,Artifact,Artifact,"
""A CorpuscularObject that is the product of a Making.""
",Experimental workflow,EXPO04-19-06.owl
has_experimental_requirements,None,None,type,ObjectProperty,None,None,Experimental workflow,EXPO04-19-06.owl
has__name,None,None,type,ObjectProperty,None,None,Experimental workflow,EXPO04-19-06.owl
N302672a70f1e402baf92577c7b7c9c26,None,None,type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
ScientificExperiment,ScientificExperiment,"
A scientific experiment is a research method which permits the investigation of cause-effect relations between known and unknown (target) variables of the field of study (domain). An experimental result cannot be known with certainty in advance.
",subClassOf,Procedure,Procedure,"
A sequence-dependent specification. Some examples are ComputerPrograms, finite-state machines, cooking recipes, musical scores, conference schedules, driving directions, and the scripts of plays and movies. Reference: SUMO http://berkelium.teknowledge.com:8080/sigma/home.jsp
",Experimental workflow,EXPO04-19-06.owl
N2748ad80534f40a29f53345b618eb1c8,None,None,unionOf,N3ef1e0ad015b432f94f17575faa1cf15,None,None,Experimental workflow,EXPO04-19-06.owl
N2cf0d39581bb41e49af9c4afb419e7f7,None,None,allValuesFrom,Name,Name,"
A name a word or phrase constituting the individual designation by which a particular person or thing is known, referred to, or addressed. Reference: The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",Experimental workflow,EXPO04-19-06.owl
EperimentalDesignTask,EperimentalDesignTask,"
An experimental design task is a scientific task of planning and organizing an experiment in order to achieve an experimental goal.
",type,Class,None,None,Experimental workflow,EXPO04-19-06.owl
